eternal sunshine of the spotless mind,jim carrey,kate winslet,gerry robert byrne,elijah wood,thomas jay ryan,mark ruffalo,jane adams,david cross
bicycle thieves,lamberto maggiorani,enzo staiola,lianella carell,elena altieri,gino saltamerenda,giulio chiari,vittorio antonucci,michele sakara
lawrence of arabia,peter o'toole,alec guinness,anthony quinn,jack hawkins,omar sharif,josé ferrer,anthony quayle,claude rains
the kid,jake schur,leila george,chris pratt,dane dehaan,ethan hawke,charlie chappell,clint obenchain,chris bylsma
full metal jacket,matthew modine,adam baldwin,vincent d'onofrio,r. lee ermey,dorian harewood,kevyn major howard,arliss howard,ed o'ross
incendies,mustafa kamel,hussein sami,rémy girard,mélissa désormeaux-poulin,maxim gaudette,dominique briand,lubna azabal,frédéric paquet
dangal,aamir khan,fatima sana shaikh,sanya malhotra,sakshi tanwar,aparshakti khurana,zaira wasim,suhani bhatnagar,ritvik sahore
the apartment,jack lemmon,shirley maclaine,fred macmurray,ray walston,jack kruschen,david lewis,hope holiday,joan shawlee
double indemnity,fred macmurray,barbara stanwyck,edward g. robinson,porter hall,jean heather,tom powers,byron barr,richard gaines
metropolis,alfred abel,gustav fröhlich,rudolf klein-rogge,fritz rasp,theodor loos,erwin biswanger,heinrich george,brigitte helm
a clockwork orange,malcolm mcdowell,patrick magee,michael bates,warren clarke,john clive,adrienne corri,carl duering,paul farrell
taxi driver,diahnne abbott,frank adu,victor argo,gino ardito,garth avery,peter boyle,albert brooks,harry cohn
the father,olivia colman,anthony hopkins,mark gatiss,olivia williams,imogen poots,rufus sewell,ayesha dharker,roman zeller
the sting,paul newman,robert redford,robert shaw,charles durning,ray walston,eileen brennan,harold gould,john heffernan
a separation,payman maadi,leila hatami,sareh bayat,shahab hosseini,sarina farhadi,merila zare'i,ali-asghar shahbazi,babak karimi
scarface,al pacino,steven bauer,michelle pfeiffer,mary elizabeth mastrantonio,robert loggia,miriam colon,f. murray abraham,paul shenar
snatch,ade,william beck,andy beckwith,ewen bremner,jason buckham,mickey cantwell,nicola collins,teena collins
1917,dean-charles chapman,george mackay,daniel mays,colin firth,pip carter,andy apollo,paul tinto,josef davies
amélie,audrey tautou,mathieu kassovitz,rufus,lorella cravotta,serge merlin,jamel debbouze,clotilde mollet,claire maurier
to kill a mockingbird,gregory peck,john megna,frank overton,rosemary murphy,ruth white,brock peters,estelle evans,paul fix
toy story 3,tom hanks,tim allen,joan cusack,ned beatty,don rickles,michael keaton,wallace shawn,john ratzenberger
for a few dollars more,clint eastwood,lee van cleef,gian maria volontè,mara krupp,luigi pistilli,klaus kinski,luis rodríguez,benito stefanelli
up,edward asner,christopher plummer,jordan nagai,bob peterson,delroy lindo,jerome ranft,john ratzenberger,david kaye
pather panchali,kanu bannerjee,karuna bannerjee,chunibala devi,uma das gupta,subir banerjee,runki banerjee,reba devi,aparna devi
indiana jones and the last crusade,harrison ford,sean connery,denholm elliott,alison doody,john rhys-davies,julian glover,river phoenix,michael byrne
heat,al pacino,robert de niro,val kilmer,jon voight,tom sizemore,diane venora,amy brenneman,ashley judd
l.a. confidential,kevin spacey,russell crowe,guy pearce,james cromwell,kim basinger,danny devito,david strathairn,ron rifkin
ran,tatsuya nakadai,akira terao,jinpachi nezu,daisuke ryû,mieko harada,yoshiko miyazaki,hisashi igawa,pîtâ
die hard,bruce willis,bonnie bedelia,reginald veljohnson,paul gleason,de'voreaux white,william atherton,hart bochner,james shigeta
yojimbo,toshirô mifune,tatsuya nakadai,yôko tsukasa,isuzu yamada,daisuke katô,seizaburô kawazu,takashi shimura,hiroshi tachikawa
green book,viggo mortensen,mahershala ali,linda cardellini,sebastian maniscalco,dimiter d. marinov,mike hatton,p.j. byrne,joe cortese
rashomon,toshirô mifune,machiko kyô,masayuki mori,takashi shimura,minoru chiaki,kichijirô ueda,noriko honma,daisuke katô
downfall,bruno ganz,alexandra maria lara,corinna harfouch,ulrich matthes,juliane köhler,heino ferch,christian berkel,matthias habich
all about eve,bette davis,anne baxter,george sanders,celeste holm,gary merrill,hugh marlowe,gregory ratoff,barbara bates
monty python and the holy grail,graham chapman,john cleese,eric idle,terry gilliam,terry jones,michael palin,connie booth,carol cleveland
some like it hot,marilyn monroe,tony curtis,jack lemmon,george raft,pat o'brien,joe e. brown,nehemiah persoff,joan shawlee
batman begins,christian bale,michael caine,liam neeson,katie holmes,gary oldman,cillian murphy,tom wilkinson,rutger hauer
jai bhim,suriya,lijo mol jose,manikandan,rajisha vijayan,prakash raj,rao ramesh,guru somasundaram,m.s. bhaskar
the unforgivable,sandra bullock,viola davis,vincent d'onofrio,jon bernthal,richard thomas,linda emond,aisling franciosi,emma nelson
children of heaven,mohammad amir naji,amir farrokh hashemian,bahare seddiqi,nafise jafar-mohammadi,fereshte sarabandi,kamal mirkarimi,behzad rafi,dariush mokhtari
howl's moving castle,chieko baishô,takuya kimura,akihiro miwa,tatsuya gashûin,ryûnosuke kamiki,mitsunori isaki,yô ôizumi,akio ôtsuka
the wolf of wall street,leonardo dicaprio,jonah hill,margot robbie,matthew mcconaughey,kyle chandler,rob reiner,jon bernthal,jon favreau
judgment at nuremberg,spencer tracy,burt lancaster,richard widmark,marlene dietrich,maximilian schell,judy garland,montgomery clift,william shatner
there will be blood,daniel day-lewis,martin stringer,matthew braden stringer,jacob stringer,joseph mussey,barry del sherman,harrison taylor,stockton taylor
casino,robert de niro,sharon stone,joe pesci,james woods,don rickles,alan king,kevin pollak,l.q. jones
the great escape,steve mcqueen,james garner,richard attenborough,james donald,charles bronson,donald pleasence,james coburn,hannes messemer
the treasure of the sierra madre,humphrey bogart,walter huston,tim holt,bruce bennett,barton maclane,alfonso bedoya,arturo soto rangel,manuel dondé
pan's labyrinth,ivana baquero,sergi lópez,maribel verdú,doug jones,ariadna gil,álex angulo,manolo solo,césar vea
a beautiful mind,russell crowe,ed harris,jennifer connelly,christopher plummer,paul bettany,adam goldberg,josh lucas,anthony rapp
the secret in their eyes,soledad villamil,ricardo darín,carla quevedo,pablo rago,javier godino,bárbara palladino,rudy romano,alejandro abelenda
raging bull,robert de niro,cathy moriarty,joe pesci,frank vincent,nicholas colasanto,theresa saldana,mario gallo,frank adonis
chinatown,jack nicholson,faye dunaway,john huston,perry lopez,john hillerman,darrell zwerling,diane ladd,roy jenson
my neighbor totoro,noriko hidaka,chika sakamoto,shigesato itoi,sumi shimamoto,tanie kitabayashi,hitoshi takagi,yûko maruyama,machiko washio
